学校代号,学校名称,是否双一流,分数线,位次,百分位
1147,清华大学,Yes,707,47,99.911695631752
1103,北京大学,Yes,707,49,99.9079379990606
3131,上海交通大学,Yes,699,179,99.66369187411931
3102,复旦大学,Yes,697,256,99.51902301550022
1104,北京大学医学部,Yes,694,348,99.34617191169563
3171,复旦大学医学院,Yes,694,354,99.33489901362141
3132,上海交通大学医学院,Yes,693,371,99.30295913574449
1189,中国科学院大学,Yes,692,438,99.17707844058243
3455,中国科学技术大学,Yes,688,763,98.56646312822922
1159,中国人民大学,Yes,685,970,98.17754814466886
3240,南京大学,Yes,674,2476,95.34805072804133
0001,浙江大学,Yes,666,4313,91.89666510098637
3165,同济大学,Yes,665,4371,91.78769375293565
1130,北京师范大学,Yes,665,4514,91.51902301550024
3109,上海财经大学,Yes,663,4973,90.65664631282291
0259,浙江大学医学院,Yes,663,4991,90.62282761860028
1116,北京航空航天大学,Yes,663,5151,90.32221700328793
4460,哈尔滨工业大学(深圳),Yes,661,5729,89.23626115547205
1203,南开大学,Yes,660,6145,88.45467355565994
3105,华东师范大学,Yes,659,6212,88.32879286049788
3206,东南大学,Yes,659,6372,88.02818224518553
3151,上海外国语大学,Yes,659,6407,87.96242367308595
4055,武汉大学,Yes,659,6444,87.89290746829498
1163,中国政法大学,Yes,658,6820,87.18647252231094
1210,天津大学,Yes,657,6920,86.99859088774072
4436,中山大学,Yes,657,6994,86.85955847815876
1144,对外经济贸易大学,Yes,657,7190,86.49131047440113
6127,西安交通大学,Yes,656,7292,86.29967120713951
1127,北京理工大学,Yes,656,7407,86.08360732738375
5113,电子科技大学,Yes,656,7624,85.67590418036637
2309,哈尔滨工业大学,Yes,655,7692,85.54814466885861
4034,华中科技大学,Yes,655,7699,85.5349929544387
4424,华南理工大学,Yes,655,7906,85.14607797087834
3106,华东政法大学,No,655,7965,85.03522780648191
3325,中国人民大学(苏州校区),Yes,655,8004,84.96195396899952
1140,北京邮电大学,Yes,655,8018,84.9356505401597
3543,厦门大学,Yes,654,8331,84.34758102395492
1133,北京外国语大学,Yes,653,8575,83.88914983560358
1165,中央财经大学,Yes,651,9351,82.43118835133866
4365,中南大学,Yes,650,10101,81.02207609206201
1153,中国传媒大学,Yes,649,10229,80.78158759981213
5150,电子科技大学(沙河校区),Yes,649,10559,80.1615782057304
3731,山东大学,Yes,648,11064,79.21277595115077
1107,北京电影学院,No,648,11114,79.11883513386566
4314,湖南大学,Yes,647,11473,78.44434006575858
3104,华东理工大学,Yes,647,11476,78.43870361672147
2310,哈尔滨工业大学(威海),Yes,647,11502,78.38985439173321
4095,中南财经政法大学,Yes,646,11780,77.867543447628
4039,华中师范大学,Yes,645,12220,77.04086425551903
1167,中央民族大学,Yes,645,12580,76.36449037106622
5011,重庆大学,Yes,644,12790,75.96993893846876
5007,西南政法大学,No,644,12863,75.8327853452325
1157,中国农业大学,Yes,644,12939,75.68999530295913
9001,海军军医大学,Yes,644,13062,75.45890089243777
3101,东华大学,Yes,643,13324,74.9666510098638
3251,南京理工大学,Yes,643,13388,74.84640676373884
1123,北京科技大学,Yes,642,13726,74.2113668388915
2124,东北大学,Yes,642,13843,73.99154532644434
4440,深圳大学,No,642,14132,73.4485674025364
3259,南京师范大学,Yes,641,14405,72.93565054015968
3763,中国海洋大学,Yes,641,14440,72.86989196806013
1171,北京邮电大学(宏福校区),Yes,641,14504,72.74964772193518
6116,西安电子科技大学,Yes,641,14531,72.69891968060122
5141,西南财经大学,Yes,641,14592,72.58431188351338
2220,吉林大学,Yes,641,14642,72.49037106622828
2111,大连理工大学,Yes,641,14747,72.29309534992953
1113,北京工业大学,Yes,640,15008,71.80272428370127
1105,北京第二外国语学院,No,639,15758,70.39361202442461
1146,华北电力大学(北京),Yes,639,15767,70.37670267731329
5120,四川大学,Yes,639,15795,70.32409581963364
4428,暨南大学,Yes,639,15929,70.07233442930954
3246,南京航空航天大学,Yes,638,16032,69.8788163457022
3112,上海大学,Yes,638,16485,69.0277125410991
3732,山东大学威海分校,Yes,637,16726,68.57491780178488
1121,北京交通大学,Yes,637,17053,67.96054485674026
4426,华南师范大学,Yes,637,17106,67.86096759041804
6145,西北工业大学,Yes,637,17162,67.75575387505872
1239,天津医科大学,Yes,636,17176,67.72945044621888
3119,上海对外经贸大学,No,636,17666,66.80883043682479
6204,兰州大学,Yes,635,18074,66.04227336777831
3216,江南大学,Yes,635,18257,65.6984499765148
3136,上海理工大学,No,635,18332,65.55753875058713
1142,北京语言大学,No,634,18763,64.74776890558948
3256,南京农业大学,Yes,634,18877,64.53358384217943
3209,河海大学,Yes,634,18919,64.45467355565994
1149,首都师范大学,Yes,633,19719,62.95162047909817
3404,安徽大学,Yes,632,19923,62.568341944574925
2308,哈尔滨工程大学,Yes,631,20498,61.48802254579615
1311,东北大学秦皇岛分校,Yes,631,20651,61.20056364490372
