YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1964    0.3   -0.9    3.8    7.8   16.7   20.7   23.1   21.8   19.6   12.6    8.8    1.9     0.5     9.4    21.9    13.7   11.37
1965   -2.6   -0.4    3.1    8.5   16.0   19.3   21.8   21.8   18.4   12.5    6.8    3.1    -0.4     9.2    21.0    12.6   10.59
1966   -1.1    0.4    4.9    8.0   13.2   20.5   24.4   23.0   18.4   12.3  999.9  999.9     0.8     8.7    22.6    12.6   11.19
1967  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1968  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1969  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1970  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9   999.9   999.9   999.9   999.9  999.90
1971  999.9  999.9  999.9  999.9   13.8   20.8   23.6   23.2   20.6   16.0    7.0    4.5   999.9   999.9    22.5    14.5  999.90
1972    1.0   -0.6    3.2    8.4   14.8   18.5   23.5   22.3   19.3   11.0    6.6    3.6     1.6     8.8    21.4    12.3   11.04
1973    1.1    0.3    7.2   10.8  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9     1.7    11.7   999.9   999.9  999.90
1974  999.9   -0.4    5.7   11.2   15.1   19.7   24.6   24.1   19.2   12.3    8.7    4.2   999.9    10.7    22.8    13.4   12.03
1975    3.1    2.0    4.2    8.2   16.6   20.4   23.7   23.4   17.7   15.4   11.4    2.3     3.1     9.7    22.5    14.8   12.53
1976   -2.4    3.5    6.0   11.7   14.6   21.0   22.5   22.4   18.5   11.4    4.6   -1.3     1.1    10.8    22.0    11.5   11.34
1977   -5.8   -0.1    6.3   10.4   16.3   19.4   23.8   22.8   19.2   11.9    8.3    1.1    -2.4    11.0    22.0    13.1   10.93
1978   -2.4   -3.7  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9    -1.7   999.9   999.9   999.9  999.90
1979  999.9  999.9  999.9  999.9   16.3   18.6   23.0  999.9  999.9  999.9  999.9  999.9   999.9   999.9    21.2   999.9  999.90
1980  999.9  999.9  999.9  999.9   16.2   19.0   23.7   24.6   20.1   12.5    6.4    0.0   999.9   999.9    22.4    13.0  999.90
1981   -4.2    2.8    4.6   11.1   14.9   20.4   24.2   23.1   19.0   11.6    7.8    2.1    -0.5    10.2    22.6    12.8   11.28
1982   -4.0    1.2    4.0    8.7   15.7   18.5   23.4   21.7   18.6   13.3    9.4    5.5    -0.2     9.5    21.2    13.8   11.05
1983    1.2    1.4    6.1    9.9   13.6   21.1   25.0   23.9   20.8   14.0    8.9    1.3     2.7     9.9    23.3    14.6   12.62
1984   -2.5    3.4    1.5    9.7   15.2   22.4   22.9   24.4   18.0   15.6    7.7    5.7     0.7     8.8    23.2    13.8   11.63
1985   -2.8    0.6    6.4   11.4   16.4   19.3   23.3   22.8   20.2   14.1    9.6    0.6     1.2    11.4    21.8    14.6   12.25
1986    0.3   -0.6    5.4   10.6   16.9   20.6   23.6   22.3   18.7   13.3    6.9    3.7     0.1    11.0    22.2    13.0   11.55
1987   -0.3   -0.2    5.8   10.2   15.1   21.2   24.0   22.2   19.2   11.5    7.9    3.6     1.1    10.4    22.5    12.9   11.69
1988   -2.3    0.7    5.1    9.3   15.2   20.5   23.8   24.3   19.0   10.9    8.5    1.7     0.7     9.9    22.9    12.8   11.55
1989    2.0    0.6    4.2    9.5   15.0   21.4   22.9   22.9   19.5   13.8    7.0   -3.5     1.4     9.6    22.4    13.4   11.71
1990    3.6    3.3    5.3    9.5   14.1   20.1   23.7   23.6   19.0   15.8    8.9    4.9     1.1     9.6    22.5    14.6   11.95
1991    1.0    3.4    5.9   10.9   18.5   21.9   24.3   24.4   19.0   14.3    8.2    3.9     3.1    11.8    23.5    13.8   13.06
1992    1.6    1.8    3.6    8.7   14.4   19.5   22.7   21.8   19.0   11.9    7.7    2.8     2.4     8.9    21.3    12.9   11.38
1993    2.2   -1.4    3.4    9.8   16.7   20.9   25.4   23.4   19.2   12.6    7.8    2.2     1.2    10.0    23.2    13.2   11.90
1994   -3.6   -2.2    4.0   11.5   14.8   22.0   25.1   21.7   19.5   13.4   10.1    5.1    -1.2    10.1    22.9    14.3   11.54
1995    2.6   -0.8    6.2    9.8   15.4   20.9   24.8   24.5   19.8   15.9    6.5    0.6     2.3    10.5    23.4    14.1   12.56
1996   -0.8  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9    -0.2   999.9   999.9   999.9  999.90
1997  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9  999.9    3.4   999.9   999.9   999.9   999.9  999.90
1998    4.5    4.5    5.8   10.9   16.4   20.0   24.5   24.5   20.9   14.2    8.6    5.6     4.1    11.0    23.0    14.6   13.18
1999    1.1    2.2    5.3   11.1   16.2   22.0   26.2   23.9   20.6   12.8   10.0    4.2     3.0    10.9    24.0    14.5   13.08
2000   -0.6    2.0    7.3    9.5   16.2   21.2   22.5   22.8   19.2   13.6    7.5   -0.3     1.9    11.0    22.2    13.4   12.12
2001    0.0    1.7    3.9   10.9   16.2   22.5   22.3   25.0   19.8   13.9   10.6    6.4     0.5    10.3    23.3    14.8   12.21
2002    3.6    4.2    6.2   11.7   15.0   21.2   25.6   24.5   20.6   13.1  999.9  999.9     4.7    11.0    23.8    14.1   13.40
2003   -2.5   -1.4    4.7    8.6   13.6   20.0   24.2   24.7   20.6   12.8    9.5    2.8    -1.1     9.0    23.0    14.3   11.28
2004   -4.2    1.4    5.8   10.9   17.3   21.2   23.4  999.9  999.9  999.9  999.9  999.9     0.0    11.3    22.7   999.9   11.92
