YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1880,4.68,3.16,3.40,10.67,20.65,23.33,24.73,23.44,20.39,12.63,4.38,-2.36
1881,-3.42,-1.28,3.45,9.06,17.67,19.39,24.17,24.02,23.80,15.26,7.71,4.69
1882,-1.38,2.15,5.24,9.45,14.33,22.99,25.16,23.83,20.32,14.67,4.40,-0.01
1883,-3.55,-0.38,1.02,9.39,16.97,24.05,24.50,21.99,17.37,11.79,7.06,0.58
1884,-3.52,1.65,3.52,9.80,16.61,22.37,23.30,24.12,22.95,14.92,7.24,1.69
1885,-0.95,-4.60,-0.28,10.25,16.06,21.87,26.55,23.09,18.57,12.83,7.45,2.59
1886,-2.68,-1.39,3.98,12.84,16.70,21.38,25.05,22.12,19.61,13.59,7.42,-0.48
1887,-1.38,0.58,0.80,8.82,18.95,22.19,27.16,22.21,17.40,12.05,5.64,1.53
1888,-4.20,-0.89,-0.40,8.66,15.49,22.96,22.65,23.60,18.03,9.91,7.84,2.29
1889,2.75,-1.54,5.17,11.44,18.61,22.53,24.31,22.56,19.36,10.54,7.56,5.03
1890,3.76,3.98,2.77,10.71,16.97,22.52,23.97,23.76,20.53,13.44,7.29,-0.35
1891,1.78,3.06,3.15,10.89,15.62,23.29,23.82,25.39,23.11,13.50,7.11,6.60
1892,0.50,1.48,2.10,10.28,16.33,24.43,25.25,24.70,19.09,12.59,6.82,0.86
1893,-3.95,-0.67,2.62,9.22,15.53,21.41,24.44,24.28,18.33,14.21,6.53,2.35
1894,1.59,-1.48,6.77,10.50,17.20,22.62,25.14,22.55,999.90,999.90,999.90,999.90
1895,999.90,999.90,999.90,10.01,17.42,23.35,22.96,24.55,21.98,11.10,8.48,3.39
1896,-1.36,-0.58,0.24,11.52,19.57,21.37,25.13,24.74,19.60,11.88,9.46,1.20
1897,-0.93,0.43,4.76,10.28,16.40,19.79,25.03,22.97,19.40,13.57,7.20,3.51
1898,1.57,2.00,7.67,8.77,15.05,22.18,24.99,24.41,21.53,15.09,7.26,1.46
1899,-0.67,-2.51,3.23,9.78,17.10,23.78,25.07,24.38,18.79,14.76,7.54,3.16
1900,-0.24,-1.18,0.62,10.11,15.30,21.85,25.43,25.06,21.47,16.12,9.04,2.09
1901,-0.01,-3.44,3.28,9.00,14.37,21.76,25.98,24.11,20.05,13.14,3.81,1.90
1902,-1.23,-1.68,6.66,10.34,15.10,19.59,22.92,22.35,18.99,14.12,10.32,-0.03
1903,-1.15,0.47,8.74,11.21,17.52,17.95,23.93,20.70,19.39,14.28,5.11,-0.54
1904,-4.09,-4.27,2.07,8.04,17.82,21.50,24.00,22.72,19.38,11.90,5.29,-1.28
1905,-1.90,-4.40,4.45,9.96,16.27,21.19,25.37,23.70,20.79,14.93,6.10,3.48
