I_D,FLAG_TSUNAMI,YEAR,MONTH,DAY,HOUR,MINUTE,SECOND,MEASURE,COUNTRY,STATE_US,LOCATION_NAME,LATITUDE,LONGITUDE,DEATHS,INJURIES,DAMAGE_MILLIONS_DOLLARS,HOUSES_DESTROYED,HOUSES_DAMAGED
2569,,1900,1,20,6,33,30,7.4,MEXICO,,MEXICO,20,-105,0,0,0,0,0
2571,,1900,5,16,20,12,    ,7.8,MEXICO,,MEXICO:  NEAR COAST OF JALISCO,20,-105,0,0,0,0,0
6231,Tsu,1900,8,11,4,40,    ,0.0,USA,AK,ALASKA:  SE. ALASKA,58.6,-137.5,0,0,0,0,0
2580,,1900,10,9,12,25,,8.3,USA,AK,ALASKA:  KODIAK ISLAND,57.09,-153.48,0,0,0,0,0
7018,Tsu,1901,3,3,7,45,,6.4,USA,CA,CALIFORNIA:  SAN DIEGO,36,-120.5,0,0,0,0,0
2603,Tsu,1901,12,31,9,2,30,7.8,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,51.45,-171.02,0,0,0,0,0
2606,,1902,1,1,5,20,    ,7.8,USA,AK,ALASKA:  ALEUTIAN ISLANDS:  FOX ISLANDS,52.4,-167.5,0,0,0,0,0
2608,,1902,1,16,,,,7.0,MEXICO,,MEXICO:  GUERRERO,17.6,-99.7,2,0,0,0,0
2619,,1902,4,29,6,57,    ,0.0,USA,CA,CALIFORNIA:  SOUTHERN,34.5,-120.5,0,0,0,0,0
2635,,1902,9,23,20,18,30,7.8,MEXICO,,"MEXICO:  VENUSTIANO CARRANZA,CHIAPAS,CHIS,TABASCO",16.6,-92.6,0,0,0,0,0
2637,,1902,12,12,23,10,,7.8,MEXICO,,MEXICO:  BAJA CALIFORNIA,29,-114,0,0,0,0,0
2642,,1903,1,14,1,47,36,7.7,MEXICO,,MEXICO:  OFF COAST OF GUERRERO,15,-98,0,0,0,0,0
2656,Tsu,1903,6,2,13,17,,8.3,USA,AK,ALASKA:  SOUTHWEST,61.56,-158.54,0,0,0,0,0
6238,Tsu,1903,7,16,,,,0.0,MEXICO,,MEXICO:  ACAPULCO,16.7,-99.2,0,0,0,0,0
2690,,1904,8,27,21,56,,8.3,USA,AK,ALASKA:  RAMPART,64.66,-148.08,0,0,0,0,0
2703,,1905,2,14,8,46,,7.9,USA,AK,ALASKA:  ANDREANOF ISLANDS,50.73,-178.55,0,0,0,0,0
2712,,1905,5,9,,,    ,0.0,MEXICO,,MEXICO:  JALISCO,20.3,-103.4,0,0,0,0,0
2764,,1906,4,10,21,22,    ,7.5,MEXICO,,MEXICO:  REVILLA GIGEDO ISLANDS,19,-113.8,0,0,0,0,0
2768,Tsu,1906,4,18,13,12,21,7.9,USA,CA,CALIFORNIA:  SAN FRANCISCO,37.67,-122.48,700,0,400,28188,0
